Country,City,AccentCity,Region,Population,Latitude,Longitude
ad,sant pere,Sant Pere,02,,42.5833333,1.65
ad,santuari de meritxell,Santuari de Meritxell,02,,42.55,1.6
ad,segudet,Segudet,05,,42.55,1.5333333
ad,sertes,Sertes,06,,42.4666667,1.5
ad,sispony,Sispony,04,,42.5333333,1.5166667
ad,soldeu,Soldeu,02,,42.5833333,1.6666667
ad,sornas,Sornàs,05,,42.5666667,1.5333333
ad,vila,Vila,03,,42.5333333,1.5666667
ad,vixesarri,Vixesarri,06,,42.4833333,1.4666667
ad,xixerella,Xixerella,04,,42.55,1.4833333
ae,abu dabi,Abu Dabi,01,,24.466667,54.366667
ae,abu dhabi,Abu Dhabi,01,603687,24.466667,54.366667
ae,abu hail,Abu Hail,03,,25.285475,55.329611
ae,abu zabi,Abu Zabi,01,,24.466667,54.366667
ae,abu zabye,Abu Zabye,01,,24.466667,54.366667
ae,abu zabyo,Abu Zabyo,01,,24.466667,54.366667
ae,ad dharbaniya,Ad Dharbaniya,05,,25.783333,55.933333
ae,adgat,Adgat,04,,25.498669,56.358302
ae,adh dhaid,Adh Dhaid,06,,25.288123,55.881571
ae,adhin,Adhin,05,,25.460122,56.012562
ae,afarah,Afarah,04,,25.041055,56.314853
ae,`ain,`Ain,01,,24.212717,55.783488
ae,ain al ghamur,Ain al Ghamur,06,,24.959508,56.315852
ae,`ain dhawahir,`Ain Dhawahir,01,,24.212717,55.783488
ae,ajima,Ajima,05,,25.398308,56.150726
ae,akamiya,Akamiya,04,,25.600312,56.269097
ae,al abadilah,Al Abadilah,04,,25.453529,56.18991
ae,al ain,Al Ain,01,,24.191667,55.760556
ae,al ajman,Al Ajman,02,,25.406942,55.444126
ae,al `ayn,Al `Ayn,06,,24.959508,56.315852
ae,al `ayn al ghamur,Al `Ayn al Ghamur,06,,24.959508,56.315852
ae,al badiyah,Al Badiyah,04,,25.432273,56.345736
ae,al bithnah,Al Bithnah,04,,25.189507,56.235157
ae,al daid,Al Daid,06,,25.288123,55.881571
ae,al-dhayd,Al-Dhayd,06,,25.288123,55.881571
ae,al dini,Al Dini,07,,25.932264,56.405128
ae,al duss,Al Duss,07,,25.907278,56.393
ae,al fai,Al Fai,05,,26.021389,56.091389
ae,al fiyya,Al Fiyya,01,,24.298014,53.211395
ae,al-fudjayra,Al-Fudjayra,04,,25.116412,56.341408
ae,al fuqait,Al Fuqait,04,,25.599658,56.342487
ae,al fuyay',Al Fuyay',01,,24.298014,53.211395
ae,al-ghil,Al-Ghil,05,,25.401739,56.068063
ae,algida,Algida,05,,25.996111,56.084167
ae,al gissemari,Al Gissemari,04,,25.143423,56.248397
ae,al hagarein,Al Hagarein,03,,24.798996,56.115379
